idx,hashtag,emoji_s,count
0,00后和05后最大的代沟,"(8, 6, 11, 3, 21, 13, 4, 1, 10, 5, 14, 18, 20, 23, 2, 22, 17, 9)","(2035, 486, 392, 72, 64, 51, 35, 30, 18, 16, 8, 7, 6, 6, 5, 4, 2, 1)"
1,00后温州女孩参加商业大会,"(14, 16, 6, 24, 8, 21, 15, 10, 2, 11, 17, 12, 19, 9, 13, 3, 20, 22, 23)","(69, 52, 41, 38, 25, 24, 22, 18, 12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1)"
2,0214的意思,"(8, 3, 6, 16, 2, 11, 1, 9, 20, 15, 18, 5, 23, 14, 13, 21, 4, 19, 17, 7, 10, 22, 24, 12)","(1302, 804, 304, 258, 110, 73, 41, 35, 35, 33, 32, 29, 27, 23, 22, 22, 21, 20, 19, 17, 13, 13, 11, 7)"
3,05后公布恋情的方式,"(11, 6, 8, 16, 13, 4, 14, 1, 3, 24, 21, 12, 5, 17, 15, 2, 9, 20, 18, 7, 23, 22, 19, 10)","(3131, 786, 532, 287, 113, 104, 98, 56, 44, 42, 41, 26, 18, 16, 15, 13, 13, 12, 11, 9, 8, 6, 5, 4)"
4,05后的聊天方式,"(11, 8, 6, 3, 21, 4, 13, 14, 1, 19, 24, 15, 20, 22, 9, 5, 12, 23, 18, 10, 2, 17, 16, 7)","(3231, 936, 741, 339, 197, 90, 69, 65, 62, 25, 23, 22, 20, 19, 17, 15, 13, 13, 12, 11, 10, 10, 9, 4)"
5,06超女重聚,"(16, 6, 3, 5, 18, 24, 14, 7, 8, 4, 17, 19, 22, 21, 10, 23)","(75, 24, 11, 10, 9, 8, 7, 7, 6, 4, 4, 4, 4, 3, 2, 2)"
6,09年和19年妆容对比,"(6, 8, 3, 16, 4, 17, 23, 2, 19, 5, 24, 13, 21, 1, 14, 11, 20, 22, 7, 15, 9, 10, 18)","(116, 73, 37, 34, 9, 9, 9, 8, 8, 7, 7, 6, 5, 4, 4, 4, 4, 3, 2, 2, 1, 1, 1)"
7,1.7万吨中央储备猪肉投放,"(15, 6, 16, 7, 19, 5, 22, 3, 8, 23, 13, 11, 4, 20, 14, 12, 18, 10, 17, 21, 24, 1)","(1743, 247, 143, 65, 65, 35, 30, 28, 25, 23, 22, 17, 16, 14, 12, 12, 12, 11, 8, 8, 8, 1)"
8,1000万个中国口罩抵达德国,"(15, 4, 16, 8, 22, 6, 23, 14, 11, 3, 9, 13, 20)","(378, 64, 22, 20, 17, 15, 13, 9, 7, 6, 1, 1, 1)"
9,1000余亩板蓝花铺满梯田,"(7, 6, 3, 13, 16, 20, 8, 19, 2, 11, 15, 21, 22)","(135, 12, 9, 6, 4, 4, 3, 3, 1, 1, 1, 1, 1)"
10,1000架无人机摆出黄鹤楼造型,"(16, 15, 5, 7, 11, 18, 19, 3, 22, 13, 8, 1, 12, 23, 2, 9, 20, 24, 6, 21, 14, 10, 4)","(1519, 198, 101, 41, 33, 24, 24, 19, 19, 18, 12, 9, 8, 7, 6, 5, 5, 5, 4, 4, 3, 3, 2)"
11,100万只欧标医用口罩运往意大利,"(1, 15, 4, 8, 9, 14, 2, 16, 13, 21, 7, 22, 3, 11, 5, 17, 6, 20, 19)","(614, 222, 89, 43, 31, 30, 19, 19, 17, 17, 12, 12, 8, 8, 6, 6, 5, 5, 1)"
12,100余万大学生已返校,"(5, 4, 24, 15, 7, 1, 8, 11, 14, 17, 21, 13, 6, 16, 18, 19, 10, 3, 22, 2, 9, 20, 12, 23)","(2882, 972, 537, 220, 207, 121, 92, 90, 50, 49, 48, 45, 40, 35, 35, 18, 17, 15, 15, 14, 13, 10, 7, 5)"
13,100年前北京晚清的影像,"(15, 7, 16, 5, 6, 19, 8, 20, 22, 12, 17, 4, 9, 21, 3, 18, 23, 24, 1, 11, 10)","(4381, 375, 67, 64, 61, 51, 39, 32, 23, 20, 18, 14, 13, 13, 6, 6, 5, 5, 3, 3, 2)"
14,100款违法违规APP下架整改,"(15, 8, 3, 14, 13, 11, 20, 16, 18, 21, 7, 22, 24, 12, 17, 19)","(41, 28, 20, 11, 8, 6, 6, 5, 4, 4, 3, 3, 3, 2, 2, 2)"
15,100秒回顾赵忠祥生前影像,"(18, 5, 13, 15, 2, 10, 17, 16, 14, 8, 19)","(751, 87, 14, 10, 8, 8, 7, 6, 2, 1, 1)"
16,101所高校撤销193个学位授权点,"(10, 14, 5, 15, 11, 21, 16, 9, 8, 6, 4, 3, 22, 1, 2, 20, 13, 12, 24, 23, 17, 18, 19, 7)","(416, 156, 83, 81, 61, 55, 47, 34, 27, 24, 18, 16, 9, 8, 8, 8, 7, 6, 6, 5, 4, 3, 3, 2)"
17,1037万多名党员自愿捐款11.8亿元,"(15, 16, 8, 11, 4, 6, 22, 2, 14, 1, 18, 13, 19, 3, 23, 9, 5, 21, 7, 17, 24, 12, 10, 20)","(4692, 757, 398, 119, 67, 49, 49, 34, 32, 30, 29, 23, 21, 16, 16, 15, 13, 13, 11, 11, 11, 10, 9, 1)"
18,108人完成新冠疫苗接种,"(15, 16, 22, 23, 11, 2, 5, 18, 19, 12, 21, 6, 7, 24, 4, 8, 9, 1, 3, 17, 14, 10, 13, 20)","(4459, 627, 108, 53, 45, 27, 18, 14, 14, 13, 13, 11, 11, 9, 6, 4, 3, 2, 2, 2, 1, 1, 1, 1)"
19,10万张纸巾能否吸干泳池水,"(11, 4, 8, 6, 12, 2, 14, 1, 7, 10, 9, 13, 15, 16, 18, 20, 23, 24, 3, 19, 17)","(2097, 1338, 64, 47, 24, 23, 23, 22, 13, 12, 11, 10, 9, 9, 9, 8, 7, 7, 6, 5, 1)"
20,10名外国人在印度被罚写500遍对不起,"(15, 3, 6, 8, 14, 19, 24, 4, 21, 5, 11, 1, 2, 10, 12, 16, 17, 13, 20, 22, 18, 23, 7, 9)","(3395, 465, 218, 173, 63, 55, 41, 40, 25, 19, 14, 13, 11, 10, 9, 9, 9, 7, 7, 6, 4, 3, 2, 2)"
21,10多辆小车上演教科书式让行,"(15, 22, 5, 19, 16, 24, 6, 8, 1, 10)","(2325, 205, 70, 32, 27, 16, 4, 2, 1, 1)"
22,10岁女孩每天给公交司机父母送饭,"(15, 16, 22, 5, 23, 8, 6, 3, 20, 1, 7)","(995, 147, 35, 31, 8, 6, 5, 3, 3, 1, 1)"
23,10岁男孩为救父1天吃5顿,"(15, 18, 23, 12, 13, 17, 21, 19, 2, 22, 1, 20)","(59, 12, 10, 9, 8, 5, 5, 4, 3, 3, 2, 2)"
24,10岁被害女孩与13岁男孩系堂兄妹,"(4, 5, 1, 18, 17, 13, 11, 12, 8, 23, 16, 6, 9, 24, 21, 2, 19, 14, 15, 3, 7, 20, 22, 10)","(6600, 208, 175, 105, 82, 64, 45, 24, 10, 9, 8, 7, 7, 7, 6, 5, 5, 4, 4, 3, 3, 3, 2, 1)"
25,10架次航班接回1314名中国公民,"(15, 16, 4, 19, 22, 11, 6, 18, 5, 17, 8, 10, 23, 13, 14, 1, 3, 7, 9, 12, 24, 2, 21, 20)","(3025, 495, 108, 56, 44, 40, 37, 32, 31, 22, 21, 16, 16, 14, 13, 12, 12, 9, 8, 7, 7, 5, 4, 2)"
26,110个新冠肺炎疫苗竞速,"(15, 16, 6, 22, 11, 19, 21, 1, 4, 14, 8, 24, 7, 23, 5, 10)","(1504, 148, 35, 33, 26, 18, 16, 14, 14, 9, 9, 7, 5, 4, 2, 1)"
27,11国股市暴跌熔断,"(14, 5, 2, 6, 15, 8, 9, 11, 21, 17, 3, 23, 10, 12, 22)","(137, 24, 17, 16, 15, 13, 13, 10, 10, 8, 5, 3, 2, 1, 1)"
28,11日武汉拟将完成所有疑似患者检测清零,"(8, 4, 11, 1, 14, 15, 3, 12, 5, 16, 13, 17, 18, 9, 10, 22, 21, 23, 24, 6, 19, 20, 7, 2)","(2174, 1511, 582, 433, 132, 70, 41, 29, 26, 26, 22, 20, 18, 17, 16, 16, 15, 15, 15, 11, 11, 10, 9, 3)"
29,12306屏蔽多个抢票软件,"(6, 8, 15, 5, 4, 9, 2, 21, 12, 23, 22, 1, 13, 14, 3, 10, 7, 11, 16, 24, 17, 19)","(223, 108, 76, 72, 49, 41, 27, 27, 18, 17, 16, 14, 14, 13, 12, 10, 9, 7, 7, 7, 5, 5)"
30,12306崩了,"(6, 4, 5, 8, 1, 21, 3, 11, 14, 2, 19, 7, 17, 13, 12, 22, 10, 24, 9, 20, 15, 18, 16, 23)","(896, 626, 483, 429, 163, 120, 119, 69, 40, 30, 29, 24, 24, 23, 22, 19, 18, 18, 10, 9, 7, 7, 4, 4)"
31,12306监控中心首次亮相,"(15, 22, 6, 11, 19, 1, 20, 3, 5, 16, 10, 21, 14, 24, 8, 23, 2, 9, 13, 4)","(93, 46, 29, 11, 9, 8, 8, 7, 7, 7, 6, 5, 3, 3, 2, 2, 1, 1, 1, 1)"
32,12306网购火车票业务办理时间延长,"(5, 6, 1, 21, 8, 16, 13, 3, 7, 23, 14, 4, 15, 10, 20, 22, 11, 24, 19, 2)","(202, 105, 49, 41, 39, 21, 20, 12, 12, 11, 9, 9, 9, 8, 7, 7, 6, 4, 3, 1)"
33,12万美元的香蕉当场被吃,"(8, 16, 6, 11, 21, 14, 19, 22, 2, 15, 23, 18, 1, 13, 24, 4, 17)","(715, 328, 251, 32, 16, 14, 10, 7, 4, 4, 4, 3, 2, 2, 2, 1, 1)"
34,12地新增74例境外输入病例,"(4, 1, 5, 17, 18, 13, 21, 2, 15, 19, 12, 11, 10, 24, 16, 7, 8)","(4337, 247, 177, 61, 56, 33, 24, 23, 23, 21, 19, 11, 8, 8, 7, 6, 1)"
35,12岁少年救了整楼居民,"(15, 22, 16, 23, 9, 2, 18, 21, 8, 14, 13, 24, 19, 4, 7, 11, 6, 3, 5)","(2356, 549, 45, 21, 12, 9, 9, 9, 7, 6, 6, 6, 5, 4, 3, 3, 2, 1, 1)"
36,12日K457与K581车次乘客,"(5, 6, 17, 22, 3, 8, 23, 21, 1, 9, 10, 13, 20, 11, 4, 16, 18, 24, 15, 14, 7, 19)","(92, 13, 9, 9, 8, 8, 8, 6, 5, 5, 4, 4, 4, 3, 3, 3, 3, 3, 2, 1, 1, 1)"
37,12日新增1485人驰援湖北,"(16, 17, 5, 11, 4, 13, 22, 23, 2, 19, 3, 15)","(127, 11, 5, 4, 4, 3, 3, 3, 2, 2, 1, 1)"
38,12月你好,"(16, 23, 1, 22, 8, 5, 2, 3, 19, 6, 13, 20, 9, 21, 17, 7, 4, 11, 18, 24, 14, 15)","(3830, 252, 44, 42, 24, 21, 16, 13, 11, 9, 9, 9, 8, 8, 6, 5, 3, 2, 2, 2, 1, 1)"
39,132个隔离点集中隔离5425人,"(4, 5, 22, 21, 16, 8, 18, 19, 20, 2, 12, 17, 1, 13, 15)","(98, 75, 18, 11, 10, 9, 9, 9, 9, 3, 3, 2, 1, 1, 1)"
40,13名A级通缉犯中已有5人落网,"(15, 19, 2, 7, 21, 4, 16)","(181, 19, 5, 3, 3, 1, 1)"
41,13名外籍人员沿山脉入境广西被遣返,"(4, 11, 6, 15, 8, 13, 3, 21, 12, 5, 16, 23, 14, 17, 24, 10, 22, 20, 1, 9, 2, 7, 19)","(4498, 412, 78, 69, 64, 61, 33, 17, 16, 13, 13, 10, 8, 7, 6, 5, 5, 4, 3, 3, 2, 2, 2)"
42,13名被困矿工靠一盒剩饭撑到获救,"(16, 5, 23, 15, 22, 8, 1, 11, 18, 21, 7, 20, 24, 2, 10, 17, 19, 3, 6, 9)","(1329, 123, 42, 39, 19, 13, 9, 9, 8, 7, 6, 5, 4, 3, 3, 2, 2, 1, 1, 1)"
43,13家快递企业恢复正常运营,"(15, 6, 5, 16, 19, 8, 4, 9, 11, 1, 22, 10, 21, 23, 2, 13, 14, 3, 18, 24, 12, 7, 17)","(249, 121, 51, 32, 31, 20, 18, 13, 13, 10, 10, 9, 9, 9, 8, 6, 5, 3, 3, 3, 2, 1, 1)"
44,13岁少女烧国旗被判12个月感化令,"(4, 16, 11, 1, 15, 18, 10, 9, 6, 13, 22, 19, 14, 5, 3, 21, 7, 17, 23, 20, 24, 2, 8, 12)","(4468, 55, 54, 50, 35, 35, 30, 29, 21, 21, 21, 19, 18, 18, 16, 13, 9, 8, 8, 5, 5, 4, 4, 3)"
45,13岁男孩杀害10岁堂妹抛尸后仍闲逛,"(4, 18, 1, 11, 17, 12, 6, 2, 5, 10, 13, 15, 23, 24, 22, 19, 14, 7, 8, 9, 16, 20, 21, 3)","(6419, 202, 192, 76, 66, 57, 31, 24, 20, 16, 12, 12, 6, 6, 5, 4, 2, 2, 2, 2, 2, 2, 2, 1)"
46,13岁男孩杀害10岁女孩后抛尸,"(4, 1, 12, 18, 11, 17, 5, 13, 14, 15, 7, 8, 2, 21, 19, 24, 6, 9, 10, 23, 3, 16, 22, 20)","(25235, 1847, 796, 508, 462, 294, 261, 73, 45, 31, 26, 21, 17, 17, 15, 15, 13, 13, 13, 13, 12, 12, 12, 11)"
47,14岁少年意外去世器官捐献救4人,"(18, 16, 5, 15, 1, 12, 11, 21, 3, 24, 14, 4, 6, 8, 17, 22, 23, 2, 7, 10)","(4853, 694, 297, 187, 15, 15, 9, 9, 8, 8, 7, 3, 2, 2, 2, 2, 2, 1, 1, 1)"
48,14日T156和K1454次乘客,"(17, 5, 2, 6, 4, 16, 8, 20, 3, 1, 11, 13, 18, 24, 21, 12, 15)","(308, 15, 14, 13, 11, 8, 7, 7, 6, 5, 4, 4, 4, 4, 3, 1, 1)"
49,15000个基因序列显示新冠病毒非人造,"(22, 8, 9, 14, 11, 4, 3, 6, 17, 15, 19, 10, 16, 18, 24, 1, 2, 13, 20)","(321, 44, 29, 18, 15, 10, 9, 8, 8, 7, 7, 6, 6, 5, 5, 1, 1, 1, 1)"
50,15000个武汉加油中国加油拼成钟南山,"(23, 16, 15, 19, 22, 11, 5, 14, 18, 21, 6, 9, 20, 7, 13, 4, 17, 8, 10, 12, 24, 2, 3)","(5811, 739, 437, 75, 44, 22, 20, 18, 9, 9, 7, 7, 7, 3, 3, 3, 3, 2, 2, 2, 2, 1, 1)"
51,150名解放军医护人员包机飞武汉,"(5, 16, 22, 15, 23, 8, 7, 13, 19, 11, 21, 12, 6, 10, 18, 20, 4, 1, 3)","(1103, 531, 142, 52, 39, 17, 15, 13, 12, 11, 11, 10, 8, 7, 7, 6, 5, 3, 1)"
52,16位大咖的青年照,"(16, 15, 7, 22, 6, 11, 23, 9, 4, 18, 8, 5, 20, 24)","(3289, 117, 25, 23, 21, 17, 12, 11, 9, 7, 6, 1, 1, 1)"
53,16台ECMO从法兰克福运抵武汉,"(15, 16, 22, 5, 2, 12, 19, 9, 11, 13, 20)","(367, 21, 15, 12, 5, 4, 2, 1, 1, 1, 1)"
54,16地出台独生子女护理假,"(9, 15, 11, 1, 16, 14, 8, 10, 19, 20, 5, 6, 17, 3, 24, 7, 23, 13)","(103, 96, 48, 43, 40, 14, 14, 12, 9, 7, 6, 5, 5, 3, 3, 2, 2, 1)"
55,16家企业被纳入电信业务经营不良名单,"(22, 4, 8, 18, 5, 11, 21, 9, 13, 23, 2, 14, 1, 15, 19, 24, 3, 6)","(135, 75, 45, 26, 25, 23, 10, 9, 7, 6, 5, 5, 4, 2, 2, 2, 1, 1)"
56,16年背对春晚舞台的老兵即将退伍,"(22, 16, 18, 4, 24, 1, 5, 8, 6, 7, 23, 15, 20)","(164, 58, 11, 9, 7, 6, 6, 5, 3, 3, 3, 1, 1)"
57,16省份一省包一市支援湖北,"(15, 16, 5, 19, 8, 11, 6, 4, 23, 18, 20, 7, 9, 10, 22, 24, 3, 21, 1, 14, 12, 17, 2, 13)","(4803, 2693, 1113, 68, 56, 53, 44, 40, 32, 25, 21, 16, 12, 12, 12, 11, 10, 9, 8, 8, 5, 5, 4, 2)"
58,170多个国家领导人向中国表示慰问支持,"(15, 11, 16, 22, 9, 8, 1, 2, 10, 5, 4, 6, 12, 7, 18, 19, 14, 17)","(1053, 244, 93, 66, 59, 57, 34, 18, 18, 11, 9, 8, 8, 7, 7, 7, 6, 5)"
59,17个省份明确高校开学时间,"(5, 15, 4, 24, 7, 6, 8, 13, 17, 21, 14, 1, 2, 18, 10, 19, 22, 3, 12, 16, 20, 11, 9, 23)","(2894, 682, 329, 284, 193, 183, 142, 85, 80, 71, 55, 37, 34, 27, 25, 25, 21, 19, 19, 15, 13, 9, 8, 7)"
60,17例新型肺炎死亡病例病情公布,"(18, 5, 17, 21, 16, 1, 15, 22, 19, 2, 6, 4, 11, 20, 7, 9, 23, 24, 10, 12, 13, 3, 8, 14)","(7403, 248, 84, 29, 27, 26, 25, 20, 19, 18, 15, 15, 14, 13, 11, 11, 11, 11, 9, 9, 9, 7, 6, 4)"
61,17地明确禁办婚宴等酒席,"(15, 6, 11, 5, 16, 21, 4, 3, 8, 10, 20, 17, 18, 14, 13, 19, 24, 23, 22)","(424, 70, 42, 24, 17, 13, 12, 10, 9, 9, 9, 8, 4, 3, 3, 3, 3, 2, 1)"
62,17岁的周冬雨,"(16, 7, 11, 23, 5, 3, 24, 6, 20, 1, 8, 15, 21, 2, 14, 18, 22, 9, 12, 4, 19, 10, 13, 17)","(1572, 173, 78, 46, 30, 22, 22, 21, 21, 19, 18, 18, 18, 15, 15, 13, 13, 9, 9, 9, 5, 4, 4, 4)"
63,17日D615次3车厢乘客,"(11, 4, 5, 18, 13, 10, 24, 15, 6, 1, 8, 12, 17, 22, 23, 14, 20, 16, 3, 19, 2, 7, 9, 21)","(286, 218, 67, 23, 21, 18, 16, 15, 12, 10, 8, 8, 8, 8, 8, 7, 7, 5, 4, 4, 3, 1, 1, 1)"
64,17款APP自动续费不通知,"(4, 6, 1, 14, 8, 13, 21, 17, 22, 10, 23, 24, 9, 16, 19, 2, 3, 20, 11, 18, 5, 15, 7, 12)","(2408, 50, 24, 21, 16, 14, 14, 11, 10, 9, 9, 8, 7, 7, 7, 5, 5, 5, 3, 3, 2, 2, 1, 1)"
65,180名在美留学生乘临时航班抵达上海,"(1, 4, 15, 16, 13, 11, 14, 8, 18, 6, 10, 19, 12, 2, 20, 3, 9, 24, 17, 7, 22, 23, 5, 21)","(2454, 1617, 512, 340, 121, 114, 78, 58, 51, 24, 23, 19, 14, 12, 10, 9, 9, 8, 7, 6, 6, 6, 4, 1)"
66,183名未成年留学生从纽约飞抵杭州,"(4, 16, 1, 18, 15, 11, 13, 9, 14, 2, 10, 22, 8, 19, 23, 6, 12, 24, 3, 7, 17, 5, 20, 21)","(3210, 2106, 209, 105, 84, 77, 51, 28, 21, 19, 16, 12, 11, 11, 9, 7, 7, 6, 4, 4, 4, 3, 3, 3)"
67,18亿像素火星全景照片,"(7, 9, 15, 19, 8, 16, 11, 14, 10, 17, 13, 21, 3, 6, 12, 23, 1, 18, 5, 4, 22, 24, 20, 2)","(2077, 1096, 195, 171, 112, 77, 58, 55, 43, 32, 29, 25, 23, 21, 21, 21, 18, 18, 16, 16, 16, 13, 11, 7)"
68,18名新兵收到46份神秘盒饭,"(16, 22, 5, 15, 20, 3, 6, 11, 18, 23, 17, 19, 13, 21, 9, 24, 8, 14, 4)","(878, 70, 16, 16, 15, 14, 10, 9, 8, 7, 6, 5, 4, 4, 3, 3, 2, 1, 1)"
69,18岁和28岁恋爱时的区别,"(21, 6, 19, 1, 12, 16, 17, 24, 2, 14, 7, 22, 23, 15, 20, 18)","(38, 17, 12, 8, 8, 7, 7, 7, 3, 3, 3, 3, 3, 2, 2, 1)"
70,18岁和30岁的区别,"(6, 5, 8, 16, 3, 14, 13, 4, 2, 1, 10, 17, 19, 22, 23, 20, 24, 18, 21, 15, 7)","(552, 203, 138, 49, 32, 21, 21, 18, 15, 13, 11, 11, 11, 10, 9, 8, 8, 7, 7, 5, 2)"
71,18岁的郑爽,"(16, 7, 23, 11, 6, 4, 18, 5, 3, 8, 14, 13, 15, 2, 24, 20, 10, 19, 1, 9, 21, 12, 17, 22)","(6749, 1117, 1115, 1098, 47, 42, 42, 39, 16, 16, 14, 14, 13, 11, 10, 8, 7, 7, 5, 5, 5, 4, 4, 4)"
